id  name      count   credit
1   张三      100     50
2   李四      27      60
3   王麻子    238     90
4   李元芳    175     272
5   大乔      123     213
6   李白      82      4611
7   秦始皇    3       327
8   孔子      2344    32
9   刘邦      23      6
10  项羽      6503    482
11  费玉清    237     3247
12  黄贯中    2        7
13  康熙      439     232
14  雍正      2       234
15  朱厚照    4378    890
16  李隆基    3427    389
17  王伟      97      436
18  朱元璋    2374    2344
19  秦晖      239     89
20  元昊      37      8952
21  狄仁杰    452      361
22  王昌龄    46       38
23  姜子牙    236      265
24  哪吒      2310    3271
25  孙悟空    238     12390
26  二郎神    73      23412
27  李鸿章    570      963
28  王设      237     86
29  钱利      346     568
30  韩立      87      653
31  紫灵      549     678
32  令狐冲    97       494
33  扫地僧    459     367
34  乔峰      2356     284
35  郭襄      785     756
36  马玉      89      567
37  丘处机    665      908
38  韩琦      23      453
39  欧阳修    238     678
40  韩愈      46      32
41  范仲淹    27      23
42  阿斯      89      6
43  阿甘      97      50
44  墨子      76      20
45  庄子      27      60
46  阎崇焕    237     3247
47  冯悦      46       38
48  吴器      89      43
49  石头人    213     61
50  武则天    64      234
51  马致远    23       34
52  牛二分    72      23
53  狗哥      72      35
54  胡亥      23      74
55  钟麟阁    906     86
56  秦琼      76      98
57  严嵩      45      78
58  王阳明    65     678
59  郑西      234     34
60  郑和      9       87
61  张福      6       38
